Name,Type,Description,Display Name,E-Mail Address,Company,Job Title,Last Name,First Name,User Logon Name,Department
ail.sch,User,Aileen Schuhmann, Oberstufe - Matur,Aileen Schuhmann, , , ,Schuhmann,Aileen,a.schuhmann@mail.xyz, 
alena.petersen,User,Petersen Alena, Oberstufe extern,Petersen Alena, , , ,Petersen,Alena,a.petersen@mail.xyz, 
ali.ros,User,Ali Rosenberger, Oberstufe - Matur,Ali Rosenberger, , , ,Rosenberger,Ali,keineMailAddy, 
alicia.reimer,User,Alicia Reimer, Sekundar extern,Alicia Reimer, , , ,Reimer,Alicia,keineMailAddy, 
alisa.pittman,User,Alisa Pittman, Sekundar extern,Alisa Pittman, , , ,Pittman,Alisa,a.pittman@mail.xyz, 
alisa.reif,User,Reif Alisa, Handelsmatur,Reif Alisa, , , ,Reif,Alisa,a.reif@mail.xyz, 
alisa.salazar,User,Alisa Salazar, deaktiviert,Alisa Salazar, , , ,Salazar,Alisa,a.salazar@mail.xyz, 
ame.rod,User,Amely Rodgers, Oberstufe - Matur,Amely Rodgers, , , ,Rodgers,Amely,a.rodgers@mail.xyz, 
and.sch,User,Andrea Schreier, Oberstufe - Matur,Andrea Schreier, , , ,Schreier,Andrea,keineMailAddy, 
andrea.robertson,User,Andrea Robertson, deaktiviert,Andrea Robertson, , , ,Robertson,Andrea,a.robertson@mail.xyz, 
andreas.roberts,User,Andreas Roberts, Sekundar extern,Andreas Roberts, , , ,Roberts,Andreas,andreas.roberts@mail.xyz, 
angelina.peschke,User,Angelina Peschke, Sekundar extern,Angelina Peschke, , , ,Peschke,Angelina,angelina.peschke@mail.xyz, 
angelina.reiff,User,Angelina Reiff, Sekundar extern,Angelina Reiff, , , ,Reiff,Angelina,a.reiff@mail.xyz, 
anika.rupprecht,User,Anika Rupprecht, deaktiviert,Anika Rupprecht, , , ,Rupprecht,Anika,a.rupprecht@mail.xyz, 
anj.san,User,Anja Sander, Oberstufe - Matur,Anja Sander, , , ,Sander,Anja,a.sander@mail.xyz, 
ann.pro,User,Annica Probst, Oberstufe - Matur,Annica Probst, , , ,Probst,Annica,annica.probst@mail.xyz, 
ann.rio,User,Annabel Rios, Oberstufe - Matur,Annabel Rios, , , ,Rios,Annabel,annabel.rios@mail.xyz, 
ann.sch,User,Anne Schick, Oberstufe - Matur,Anne Schick, , , ,Schick,Anne,keineMailAddy, 
annabell.schwaiger,User,Schwaiger Annabell, Handelsmatur,Schwaiger Annabell, , , ,Schwaiger,Annabell,annabell.schwaiger@mail.xyz, 
annabelle.putz,User,Putz Annabelle, Handelsmatur,Putz Annabelle, , , ,Putz,Annabelle,annabelle.putz@mail.xyz, 
anne.seeger,User,Anne Seeger, Sekundar extern,Anne Seeger, , , ,Seeger,Anne,anne.seeger@mail.xyz, 
anneke.schwager,User,Anneke Schwager, Sekundar extern,Anneke Schwager, , , ,Schwager,Anneke,keineMailAddy, 
annette.schulte,User,Annette Schulte, Sekundar extern,Annette Schulte, , , ,Schulte,Annette,keineMailAddy, 
arn.roe,User,Arne Roehrig, Oberstufe - Matur,Arne Roehrig, , , ,Roehrig,Arne,keineMailAddy, 
astrid.ramsey,User,Astrid Ramsey, deaktiviert,Astrid Ramsey, , , ,Ramsey,Astrid,astrid.ramsey@mail.xyz, 
ber.rei,User,Bernhard Reimer, Oberstufe - Matur,Bernhard Reimer, , , ,Reimer,Bernhard,b.reimer@mail.xyz, 
ber.sau,User,Bernhard Sauter, Oberstufe - Matur,Bernhard Sauter, , , ,Sauter,Bernhard,b.sauter@mail.xyz, 
berndt.roesner,User,Roesner Berndt, Lehrer Handel,Roesner Berndt, , , ,Roesner,Berndt,berndt.roesner@mail.xyz, 
bernhardt.salomon,User,Salomon Bernhardt, Handelsmatur,Salomon Bernhardt, , , ,Salomon,Bernhardt,bernhardt.salomon@mail.xyz, 
bernt.schoenfeld,User,Bernt Schoenfeld, deaktiviert,Bernt Schoenfeld, , , ,Schoenfeld,Bernt,b.schoenfeld@mail.xyz, 
bettina.schwindt,User,Schwindt Bettina, Lehrer Handel,Schwindt Bettina, , , ,Schwindt,Bettina,bettina.schwindt@mail.xyz, 
bruno.rosenthal,User,Bruno Rosenthal, deaktiviert,Bruno Rosenthal, , , ,Rosenthal,Bruno,b.rosenthal@mail.xyz, 
caj.sch,User,Caja Schulze, Oberstufe - Matur,Caja Schulze, , , ,Schulze,Caja,c.schulze@mail.xyz, 
car.sch,User,Carlotta Schuh, Oberstufe - Matur,Carlotta Schuh, , , ,Schuh,Carlotta,keineMailAddy, 
carin.schwarz,User,Schwarz Carin, Oberstufe extern,Schwarz Carin, , , ,Schwarz,Carin,keineMailAddy, 
carlotta.reinsch,User,Reinsch Carlotta, Oberstufe extern,Reinsch Carlotta, , , ,Reinsch,Carlotta,keineMailAddy, 
carlotta.schweiger,User,Schweiger Carlotta, Handelsmatur,Schweiger Carlotta, , , ,Schweiger,Carlotta,c.schweiger@mail.xyz, 
carolina.schultz,User,Carolina Schultz, Sekundar extern,Carolina Schultz, , , ,Schultz,Carolina,carolina.schultz@mail.xyz, 
celina.schaf,User,Schaf Celina, Oberstufe extern,Schaf Celina, , , ,Schaf,Celina,celina.schaf@mail.xyz, 
cha.rie,User,Charlotte Ries, Oberstufe - Matur,Charlotte Ries, , , ,Ries,Charlotte,charlotte.ries@mail.xyz, 
charlotte.schwenke,User,Schwenke Charlotte, Oberstufe extern,Schwenke Charlotte, , , ,Schwenke,Charlotte,c.schwenke@mail.xyz, 
chi.sch,User,Chiara Schwegler, Oberstufe - Matur,Chiara Schwegler, , , ,Schwegler,Chiara,keineMailAddy, 
chiara.rautenberg,User,Chiara Rautenberg, Sekundar extern,Chiara Rautenberg, , , ,Rautenberg,Chiara,chiara.rautenberg@mail.xyz, 
christa.pfaff,User,Christa Pfaff, deaktiviert,Christa Pfaff, , , ,Pfaff,Christa,c.pfaff@mail.xyz, 
christa.schaaf,User,Christa Schaaf, deaktiviert,Christa Schaaf, , , ,Schaaf,Christa,c.schaaf@mail.xyz, 
christoph.reichert,User,Christoph Reichert, deaktiviert,Christoph Reichert, , , ,Reichert,Christoph,keineMailAddy, 
christoph.schiffer,User,Christoph Schiffer, deaktiviert,Christoph Schiffer, , , ,Schiffer,Christoph,c.schiffer@mail.xyz, 
cla.pus,User,Claas Puschmann, Oberstufe - Matur,Claas Puschmann, , , ,Puschmann,Claas,claas.puschmann@mail.xyz, 
claudia.schick,User,Schick Claudia, Handelsmatur,Schick Claudia, , , ,Schick,Claudia,claudia.schick@mail.xyz, 
col.pie,User,Collin Pierce, Oberstufe - Matur,Collin Pierce, , , ,Pierce,Collin,keineMailAddy, 
colin.schaefers,User,Schaefers Colin, Handelsmatur,Schaefers Colin, , , ,Schaefers,Colin,c.schaefers@mail.xyz, 
collin.preiss,User,Collin Preiss, Sekundar extern,Collin Preiss, , , ,Preiss,Collin,collin.preiss@mail.xyz, 
con.rud,User,Conner Rudolph, Oberstufe - Matur,Conner Rudolph, , , ,Rudolph,Conner,conner.rudolph@mail.xyz, 
cornelia.richardson,User,Cornelia Richardson, Sekundar extern,Cornelia Richardson, , , ,Richardson,Cornelia,cornelia.richardson@mail.xyz, 
dagmar.rosenkranz,User,Rosenkranz Dagmar, Handelsmatur,Rosenkranz Dagmar, , , ,Rosenkranz,Dagmar,keineMailAddy, 
dagmar.schwalbe,User,Dagmar Schwalbe, deaktiviert,Dagmar Schwalbe, , , ,Schwalbe,Dagmar,dagmar.schwalbe@mail.xyz, 
daniel.romero,User,Romero Daniel, Handelsmatur,Romero Daniel, , , ,Romero,Daniel,d.romero@mail.xyz, 
daniela.phillips,User,Phillips Daniela, Handelsmatur,Phillips Daniela, , , ,Phillips,Daniela,daniela.phillips@mail.xyz, 
danny.schramm,User,Schramm Danny, Oberstufe extern,Schramm Danny, , , ,Schramm,Danny,keineMailAddy, 
david.schlegel,User,Schlegel David, Oberstufe extern,Schlegel David, , , ,Schlegel,David,d.schlegel@mail.xyz, 
denis.radtke,User,Radtke Denis, Oberstufe extern,Radtke Denis, , , ,Radtke,Denis,keineMailAddy, 
dennis.schreiber,User,Dennis Schreiber, Sekundar extern,Dennis Schreiber, , , ,Schreiber,Dennis,dennis.schreiber@mail.xyz, 
det.see,User,Detlev Seewald, Oberstufe - Matur,Detlev Seewald, , , ,Seewald,Detlev,d.seewald@mail.xyz, 
detlev.powell,User,Powell Detlev, Oberstufe extern,Powell Detlev, , , ,Powell,Detlev,detlev.powell@mail.xyz, 
diana.ramirez,User,Diana Ramirez, deaktiviert,Diana Ramirez, , , ,Ramirez,Diana,diana.ramirez@mail.xyz, 
diana.reinicke,User,Diana Reinicke, deaktiviert,Diana Reinicke, , , ,Reinicke,Diana,d.reinicke@mail.xyz, 
dieter.reischl,User,Reischl Dieter, Handelsmatur,Reischl Dieter, , , ,Reischl,Dieter,keineMailAddy, 
eileen.sailer,User,Eileen Sailer, Sekundar extern,Eileen Sailer, , , ,Sailer,Eileen,e.sailer@mail.xyz, 
elisabeth.renz,User,Renz Elisabeth, Oberstufe extern,Renz Elisabeth, , , ,Renz,Elisabeth,e.renz@mail.xyz, 
elisabeth.schacht,User,Schacht Elisabeth, Oberstufe extern,Schacht Elisabeth, , , ,Schacht,Elisabeth,keineMailAddy, 
elk.ros,User,Elke Rose, Oberstufe - Matur,Elke Rose, , , ,Rose,Elke,e.rose@mail.xyz, 
elke.rasche,User,Elke Rasche, Sekundar extern,Elke Rasche, , , ,Rasche,Elke,e.rasche@mail.xyz, 
emely.reeves,User,Emely Reeves, deaktiviert,Emely Reeves, , , ,Reeves,Emely,keineMailAddy, 
emely.schultze,User,Schultze Emely, Oberstufe extern,Schultze Emely, , , ,Schultze,Emely,e.schultze@mail.xyz, 
emil.pohlmann,User,Emil Pohlmann, Sekundar extern,Emil Pohlmann, , , ,Pohlmann,Emil,emil.pohlmann@mail.xyz, 
emilia.reinhardt,User,Emilia Reinhardt, deaktiviert,Emilia Reinhardt, , , ,Reinhardt,Emilia,keineMailAddy, 
emilie.sahin,User,Emilie Sahin, deaktiviert,Emilie Sahin, , , ,Sahin,Emilie,emilie.sahin@mail.xyz, 
emre.price,User,Emre Price, Sekundar extern,Emre Price, , , ,Price,Emre,keineMailAddy, 
enrico.rauh,User,Enrico Rauh, Sekundar extern,Enrico Rauh, , , ,Rauh,Enrico,keineMailAddy, 
eri.pop,User,Erich Popp, Oberstufe - Matur,Erich Popp, , , ,Popp,Erich,keineMailAddy, 
eric.reinartz,User,Eric Reinartz, Sekundar extern,Eric Reinartz, , , ,Reinartz,Eric,e.reinartz@mail.xyz, 
erica.schott,User,Erica Schott, Sekundar extern,Erica Schott, , , ,Schott,Erica,e.schott@mail.xyz, 
