Name,Type,Description,Display Name,E-Mail Address,Company,Job Title,Last Name,First Name,User Logon Name,Department
andreas.ruiz,User,Andreas Ruiz, deaktiviert,Andreas Ruiz, , , ,Ruiz,Andreas,a.ruiz@mail.xyz, 
ani.rei,User,Anika Reisch, Oberstufe - Matur,Anika Reisch, , , ,Reisch,Anika,a.reisch@mail.xyz, 
annabel.perry,User,Annabel Perry, Sekundar extern,Annabel Perry, , , ,Perry,Annabel,annabel.perry@mail.xyz, 
anne.schick,User,Anne Schick, deaktiviert,Anne Schick, , , ,Schick,Anne,a.schick@mail.xyz, 
antje.pilz,User,Pilz Antje, Handelsmatur,Pilz Antje, , , ,Pilz,Antje,keineMailAddy, 
berndt.reiners,User,Reiners Berndt, Lehrer Handel,Reiners Berndt, , , ,Reiners,Berndt,keineMailAddy, 
bernt.ruehl,User,Ruehl Bernt, Oberstufe extern,Ruehl Bernt, , , ,Ruehl,Bernt,keineMailAddy, 
birgit.rodriguez,User,Birgit Rodriguez, deaktiviert,Birgit Rodriguez, , , ,Rodriguez,Birgit,birgit.rodriguez@mail.xyz, 
birgit.schwager,User,Schwager Birgit, Oberstufe extern,Schwager Birgit, , , ,Schwager,Birgit,keineMailAddy, 
celina.schnell,User,Celina Schnell, deaktiviert,Celina Schnell, , , ,Schnell,Celina,keineMailAddy, 
chiara.ramsey,User,Ramsey Chiara, Oberstufe extern,Ramsey Chiara, , , ,Ramsey,Chiara,c.ramsey@mail.xyz, 
chiara.schwager,User,Chiara Schwager, deaktiviert,Chiara Schwager, , , ,Schwager,Chiara,chiara.schwager@mail.xyz, 
christin.schaeffler,User,Christin Schaeffler, deaktiviert,Christin Schaeffler, , , ,Schaeffler,Christin,c.schaeffler@mail.xyz, 
con.rei,User,Conner Reichert, Oberstufe - Matur,Conner Reichert, , , ,Reichert,Conner,c.reichert@mail.xyz, 
constantin.sandra,User,Constantin Sandra, Sekundar extern,Constantin Sandra, , , ,Sandra,Constantin,c.sandra@mail.xyz, 
cornelia.schweitzer,User,Schweitzer Cornelia, Handelsmatur,Schweitzer Cornelia, , , ,Schweitzer,Cornelia,cornelia.schweitzer@mail.xyz, 
det.sch,User,Detlef Schaub, Oberstufe - Matur,Detlef Schaub, , , ,Schaub,Detlef,detlef.schaub@mail.xyz, 
diana.reese,User,Diana Reese, deaktiviert,Diana Reese, , , ,Reese,Diana,d.reese@mail.xyz, 
dominic.sauter,User,Dominic Sauter, deaktiviert,Dominic Sauter, , , ,Sauter,Dominic,keineMailAddy, 
edith.pittman,User,Edith Pittman, Lehrer Gym,Edith Pittman, , , ,Pittman,Edith,keineMailAddy, 
emma.powell,User,Emma Powell, Sekundar extern,Emma Powell, , , ,Powell,Emma,emma.powell@mail.xyz, 
enrico.schaf,User,Schaf Enrico, Handelsmatur,Schaf Enrico, , , ,Schaf,Enrico,keineMailAddy, 
eri.sch,User,Erika Schick, Oberstufe - Matur,Erika Schick, , , ,Schick,Erika,erika.schick@mail.xyz, 
erich.sasse,User,Erich Sasse, Sekundar extern,Erich Sasse, , , ,Sasse,Erich,erich.sasse@mail.xyz, 
felix.rein,User,Felix Rein, Sekundar extern,Felix Rein, , , ,Rein,Felix,felix.rein@mail.xyz, 
fer.rei,User,Ferdinand Reif, Oberstufe - Matur,Ferdinand Reif, , , ,Reif,Ferdinand,ferdinand.reif@mail.xyz, 
florian.ratz,User,Florian Ratz, Sekundar extern,Florian Ratz, , , ,Ratz,Florian,f.ratz@mail.xyz, 
florian.schweitzer,User,Schweitzer Florian, Handelsmatur,Schweitzer Florian, , , ,Schweitzer,Florian,florian.schweitzer@mail.xyz, 
georg.schwalm,User,Georg Schwalm, deaktiviert,Georg Schwalm, , , ,Schwalm,Georg,g.schwalm@mail.xyz, 
giu.sch,User,Giulia Schwindt, Oberstufe - Matur,Giulia Schwindt, , , ,Schwindt,Giulia,g.schwindt@mail.xyz, 
gudrun.schwindt,User,Gudrun Schwindt, deaktiviert,Gudrun Schwindt, , , ,Schwindt,Gudrun,gudrun.schwindt@mail.xyz, 
hannah.raab,User,Hannah Raab, deaktiviert,Hannah Raab, , , ,Raab,Hannah,hannah.raab@mail.xyz, 
heidi.popp,User,Heidi Popp, Sekundar extern,Heidi Popp, , , ,Popp,Heidi,heidi.popp@mail.xyz, 
helene.schuermann,User,Helene Schuermann, deaktiviert,Helene Schuermann, , , ,Schuermann,Helene,helene.schuermann@mail.xyz, 
helga.rentschler,User,Helga Rentschler, deaktiviert,Helga Rentschler, , , ,Rentschler,Helga,h.rentschler@mail.xyz, 
henri.seeber,User,Seeber Henri, Handelsmatur,Seeber Henri, , , ,Seeber,Henri,henri.seeber@mail.xyz, 
henrik.pope,User,Pope Henrik, Handelsmatur,Pope Henrik, , , ,Pope,Henrik,h.pope@mail.xyz, 
hildegard.reusch,User,Reusch Hildegard, Oberstufe extern,Reusch Hildegard, , , ,Reusch,Hildegard,hildegard.reusch@mail.xyz, 
